fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,date,home_team,away_team,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season
Hull v Leicester,0.20363310165703297,0.320916298776865,0.2337085995823145,0.0,0.0,1,2,2,0,0,2016-08-13,Hull,Leicester,4,4,6,0,0,0.05383719876408577,0.0,1.8562553077936172,0.7611690163612366,0.0,1,0,3,1,0,1,0,16,1,0,0.7582580000162125,2.6712615229189396,0.7582580000162125,1.910092506557703,0.524549400433898,0.05383719876408577,2016
Burnley v Swansea,0.11360999941825867,0.0,0.9207598008215427,0.0,0.0170523002743721,0,0,2,0,1,2016-08-13,Burnley,Swansea,1,0,8,0,1,0.06127680093050003,0.6266503185033798,1.0535049941390753,0.0,0.011324699968099594,1,0,7,0,0,1,2,13,0,1,1.0514221005141735,1.7527568135410547,1.0514221005141735,1.7527568135410547,0.13066229969263077,0.6992518194019794,2016
Crystal Palace v West Bromwich Albion,0.07967869937419891,0.012986700050532818,0.8753264946863055,0.0,0.02375040017068386,0,0,4,0,0,2016-08-13,Crystal Palace,West Bromwich Albion,2,1,10,0,1,0.0,0.24560590274631977,0.2536980016157031,0.0,0.18696419522166252,0,0,2,0,1,0,5,5,0,3,0.9917422942817211,0.6862680995836854,0.9917422942817211,0.6862680995836854,0.11641579959541559,0.4325700979679823,2016
Everton v Tottenham,0.024291599169373512,0.028059400618076324,0.7084055058658123,0.0,0.02930629998445511,1,0,4,0,1,2016-08-13,Everton,Tottenham,1,2,8,0,1,0.08859290182590485,0.673196580260992,0.38117309659719467,0.0,0.0,0,1,3,0,0,1,4,8,0,0,0.7900628056377172,1.1429625786840916,0.7900628056377172,1.1429625786840916,0.08165729977190495,0.7617894820868969,2016
Middlesbrough v Stoke,0.0,0.26487530022859573,1.5403512939810753,0.0,0.0,0,0,2,0,0,2016-08-13,Middlesbrough,Stoke,0,4,8,0,0,0.05926759913563728,0.014228399842977524,0.41212970670312643,0.0,0.0,1,0,0,0,0,1,1,10,0,0,1.805226594209671,0.48562570568174124,1.805226594209671,0.48562570568174124,0.26487530022859573,0.07349599897861481,2016
Southampton v Watford,0.06577640026807785,0.1314361970871687,0.49738289322704077,0.0,0.245414599776268,2,1,3,0,0,2016-08-13,Southampton,Watford,2,3,16,0,3,0.0,0.015039600431919098,0.16500640101730824,0.0,0.0,0,0,1,0,0,0,1,4,0,0,0.9400100903585553,0.18004600144922733,0.9400100903585553,0.18004600144922733,0.44262719713151455,0.015039600431919098,2016
Manchester City v Sunderland,0.1149326041340828,0.03784720040857792,1.0408446919173002,0.7611690163612366,0.0,2,1,0,1,0,2016-08-13,Manchester City,Sunderland,2,2,11,1,0,0.057913199067115784,0.5135161112993956,0.41927720606327057,0.0,0.10806000232696533,1,1,1,0,0,1,3,3,0,1,1.9547935128211975,1.0987665187567472,1.193624496459961,1.0987665187567472,0.1527798045426607,0.6794893126934767,2016
Bournemouth v Manchester United,0.0,0.15658780373632908,0.36723860166966915,0.0,0.0,0,2,1,0,0,2016-08-14,Bournemouth,Manchester United,0,3,6,0,0,0.11032900214195251,0.0,1.9934906791895628,0.0,0.0,1,0,6,0,0,1,0,10,0,0,0.5238264054059982,2.1038196813315153,0.5238264054059982,2.1038196813315153,0.15658780373632908,0.11032900214195251,2016
Arsenal v Liverpool,0.05512839928269386,0.012844800017774105,0.23373354552313685,0.7611690163612366,0.11909200251102448,0,0,3,1,1,2016-08-14,Arsenal,Liverpool,1,1,5,1,1,0.04323039948940277,0.0,1.5066043306142092,0.0,0.13489430397748947,1,0,6,0,0,1,0,13,0,2,1.1819677636958659,1.6847290340811014,0.4207987473346293,1.6847290340811014,0.18706520181149244,0.17812470346689224,2016
Chelsea v West Ham,0.13359709829092026,0.18963310215622187,0.37589689902961254,0.7611690163612366,0.0,1,0,4,1,0,2016-08-15,Chelsea,West Ham,2,4,9,1,0,0.07183510065078735,0.21328110247850418,0.1654076986014843,0.0,0.0,0,1,2,0,0,1,3,3,0,0,1.4602961158379912,0.45052390173077583,0.6991270994767547,0.45052390173077583,0.3232302004471421,0.28511620312929153,2016
Manchester United v Southampton,0.0,0.11241000145673752,0.4937221994623542,0.7611690163612366,0.0,0,0,4,1,0,2016-08-19,Manchester United,Southampton,0,1,10,1,0,0.05235379934310913,0.0,0.40217339899390936,0.0,0.15870550088584423,0,0,1,0,0,1,0,9,0,3,1.3673012172803283,0.6132326992228627,0.6061322009190917,0.6132326992228627,0.11241000145673752,0.21105930022895336,2016
Stoke v Manchester City,0.04035929962992668,0.0,0.5099331056699157,0.7611690163612366,0.0,0,0,2,1,0,2016-08-20,Stoke,Manchester City,1,0,6,1,0,0.0,0.011655200272798538,1.3350899964571,0.7611690163612366,0.06406229734420776,0,0,4,1,1,0,1,9,1,1,1.311461421661079,2.171976510435343,0.5502924052998424,1.4108074940741062,0.04035929962992668,0.0757174976170063,2016
Burnley v Liverpool,0.0,0.0,0.19753570295870304,0.0,0.0,0,0,2,0,0,2016-08-20,Burnley,Liverpool,0,0,3,0,0,0.0,0.13315999880433083,0.7239962350577116,0.0,0.08186859637498856,0,0,5,0,0,0,4,21,0,1,0.19753570295870304,0.939024830237031,0.19753570295870304,0.939024830237031,0.0,0.21502859517931938,2016
Swansea v Hull,0.05054070055484772,0.08217419870197773,0.9986678957939148,0.0,0.009956680238246918,1,0,2,0,0,2016-08-20,Swansea,Hull,1,2,19,0,1,0.07260549813508987,1.1648717895150185,1.0608826000243425,0.0,0.0,0,2,2,0,0,1,3,8,0,0,1.1413394752889872,2.298359887674451,1.1413394752889872,2.298359887674451,0.14267157949507236,1.2374772876501083,2016
Tottenham v Crystal Palace,0.05274080112576485,1.1520565804094076,1.1455170130357146,0.0,0.0,0,2,3,0,0,2016-08-20,Tottenham,Crystal Palace,1,6,13,0,0,0.015882199630141258,0.02771179936826229,0.31434901617467403,0.0,0.0,0,0,2,0,0,1,1,8,0,0,2.350314394570887,0.3579430151730776,2.350314394570887,0.3579430151730776,1.2047973815351725,0.04359399899840355,2016
Watford v Chelsea,0.05653420090675354,0.0,0.7480144845321774,0.0,0.0,0,0,2,0,0,2016-08-20,Watford,Chelsea,1,0,5,0,0,0.09697780013084412,0.0,1.670588817447424,0.0,0.0,1,0,3,0,0,2,0,11,0,0,0.804548685438931,1.767566617578268,0.804548685438931,1.767566617578268,0.05653420090675354,0.09697780013084412,2016
West Bromwich Albion v Everton,0.08445440232753754,1.0103763937950134,0.8422184027731419,0.0,0.08180360123515129,0,1,2,0,1,2016-08-20,West Bromwich Albion,Everton,1,4,4,0,2,0.0474931001663208,0.5875115916132927,1.159614627249539,0.0,0.05611160025000572,0,2,4,0,1,1,3,8,0,1,2.018852800130844,1.8507309192791581,2.018852800130844,1.8507309192791581,1.1766343973577023,0.6911162920296192,2016
